"name","address","suburb","city","postCode","phone","longitude","latitude"
"Ahipara Superette","4 Takahe Street","Ahipara","Ahipara","0449","09 4094828","173.1534417","-35.17096753"
"Akaroa Four Square","72 Rue Lavaud","Akaroa","Akaroa","7520","03 304 7054","172.9671681","-43.80493293"
"Dairy Flat Food Mart & Liquor","1441 State Highway 17","Coatesville","Albany","0793","09 415 9142","174.6424309","-36.64838376"
"Alexandra New World","87 - 91 Centennial Avenue","Bridge Hill","Alexandra","9320","03 4486955","169.3860848","-45.24942747"
"Paper Plus Alexandra","64 Centennial Avenue","Bridge Hill","Alexandra","9320","03 4489494","169.3885118","-45.25162821"
"Countdown Amberley","9 Amberley Beach Road","Amberley","Amberley","7410","09 255 9730","172.731278","-43.156545"
"Gallaughers Supermarket of Amberley","94 Carters Road","Amberley","Amberley","7410","03 314 8229","172.72992","-43.15436638"
"Arrowtown Night 'n Day","39 Buckingham Street","Arrowtown","Arrowtown","9302","03 442 1866","168.8324966","-44.93847454"
"Ashburton New World","75 Moore Street","Ashburton","Ashburton","7700","03 308 4050","171.744846","-43.90520607"
"Countdown Ashburton","470 East Street","Ashburton","Ashburton","7700","03 307 8156","171.751653","-43.901963"
"Paper Plus Ashburton","212 East Street","Ashburton","Ashburton","7700","03 308 8309","171.7461486","-43.90551467"
"Allenton Foodmarket","75 Harrison Street","Allenton","Ashburton","7700","03 3081070","171.7424489","-43.88719798"
"Hinds Convenience & Lotto","127 Peter Street","Hinds, RD3","Ashburton","7773","03 303 7591","171.5686855","-44.00317152"
"Netherby Four Square","2 Bridge Street","Netherby","Ashburton","7700","03 308 6020","171.7632091","-43.9031251"
"Tinwald Supervalue","113 Archibald Street","Tinwald","Ashburton","7700","03 308 7446","171.720475","-43.92005931"
"Albany Central Superette","210 State Highway 17","Albany","Auckland","0632","09 414 2448","174.6972817","-36.72597413"
"Albany Highway Superette","357D Albany Highway","Rosedale","Auckland","0632","09 479 8402","174.6932718","-36.74444958"
"Albany Pak N Save","136 Don Mckinnon Drive","Albany","Auckland","0632","09 415 1000","174.7069738","-36.73039614"
"Albany Superette","372 Rosedale Road","Rosedale","Auckland","0632","09 414 4931","174.695961","-36.742826"
"Amits Superette","243 Rosedale Road","Albany","Auckland","0632","09 448 5035","174.7109091","-36.74153815"
"Caltex Upper Harbour","73-77 Paul Matthews Drive","Rosedale","Auckland","0632","09 4142030","174.715580","-36.752106"
"Green & Grocery World","28 The Avenue","Albany","Auckland","0632","09 448 1600","174.6890695","-36.72412657"
"Highway Convenience Store","178B Albany Highway","Greenhithe","Auckland","0632","09 447 1102","174.7023055","-36.75656015"
"New World Albany","219 Don McKinnon Drive","Albany","Auckland","0632","09 414 6333","174.7099752","-36.72960735"
"Seville Superette","52 G Oteha Valley Road","Oteha","Auckland","0632","09 479 7577","174.7224012","-36.71276492"
"Whitcoulls Albany Mall","Don McKinnon Drive","Albany","Auckland","0632","09 4145267","174.706006","-36.732507"
"Z Albany","287 Oteha Valley Road","Albany","Auckland","0632","09 414 0028","174.698291","-36.725676"
"Z Skyway","Cnr TomPearceDrv & George Bolt","Auckland Airport","Auckland","2022","09 275 9082","174.788508","-37.001136"
"City Convenience Store","101 Customs Street East","Auckland","Auckland","1010","09 369 5095","174.7697328","-36.84570181"
"Countdown Metro","25 Victoria Street West","Auckland","Auckland","1010","09 255 2428","174.764583","-36.848691"
"Fix Fort Street","4 Fort Street","Auckland","Auckland","1010","09 309 6349","174.7669763","-36.84584385"
"Foto Fast Digital Imaging & Lotto","76 Quay Street","Auckland","Auckland","1010","09 3072200","174.7738249","-36.84539841"
"Mid City Lotto & Newsagent","239 - 249 Queen Street","Auckland","Auckland","1010","09 357 6212","174.7648202","-36.84994935"
"Mobil Karangahape Road","565 Karangahape Road","Auckland","Auckland","1010","09 302 1041","174.7529954","-36.85927801"
"New World Metro","125 Queen Street","Auckland","Auckland","1010","09 300 5390","174.765737","-36.846552"
"Newton Pharmacy","283 Karangahape Road","Auckland","Auckland","1010","09 373 2559","174.7580506","-36.85761362"
"Om's Grocery Mart","95 Customs Street West","Auckland","Auckland","1010","09 368 5025","174.7626085","-36.84340838"
"Smile Mart","490A Queen Street","Auckland","Auckland","1010","09 302 1233","174.7623329","-36.85642394"
"Smile Supermarket Viaduct","22 Viaduct Harbour Avenue","Auckland","Auckland","1010","09 358 4718","174.757227","-36.845174"
"Snackers Convenience","14/8 Quay Street","Auckland","Auckland","1010","09 373 3746","174.780018","-36.847373"
"Victoria Street Lotto & Newsagency","67 Victoria Street West","Auckland","Auckland","1010","09 3033654","174.7631163","-36.84821986"
"Walia Superette K Road","358 Karangahape Road","Auckland","Auckland","1010","09 373 2047","174.756953","-36.858138"
"Avondale Foodmarket","277 Rosebank Road","Avondale","Auckland","1026","09 820 6450","174.684233","-36.885867"
"Avondale Superette","1B Avondale Road","Avondale","Auckland","1026","09 820 4311","174.684457","-36.887428"
"Mobil Blockhouse Bay","262 Blockhouse Bay Road","Avondale","Auckland","0600","09 828 7894","174.70183","-36.90622601"
"Neelam Superette","22 St Georges Road","Avondale","Auckland","0600","09 8200 989","174.6970701","-36.89966199"
"Roberts Superette & Lotto","57 Blockhouse Bay Road","Avondale","Auckland","1026","09 820 0925","174.7005171","-36.89077909"
"Supervalue Avondale","2025C Great North Road","Avondale","Auckland","1026","09 8209189","174.697077","-36.897587"
"Caltex Balmoral","332-340 Sandringham Road","Sandringham","Auckland","1025","09 8159403","174.738843","-36.88533"
"Kensington Dairy","706 Dominion Road","Mount Eden","Auckland","1041","09 623 2104","174.746542","-36.890381"
"Beach Haven Dairy & Lotto","344 Rangatira Road","Beach Haven","Auckland","0626","09 483 5917","174.6875464","-36.79213568"
"Lancaster Four Square","209 Beach Haven Road","Beach Haven","Auckland","0626","09 483 8907","174.6951014","-36.78939566"
"Rangatira Superette","227 Rangatira Road","Beach Haven","Auckland","0626","09 4836131","174.691149","-36.799127"
"Beachlands Post & Lotto","38 Wakelin Road","Beachlands","Auckland","2018","09 536 6118","174.9969221","-36.88254561"
"Belmont Superette and Lotto","149 Lake Road","Belmont","Auckland","0622","09 940 9544","174.7896479","-36.80763958"
"Don's Food Market","156 Birkdale Road","Birkdale","Auckland","0626","09 483 8778","174.7007573","-36.7983672"
"Merivale Superette","2 Levesque Street","Birkdale","Auckland","0626","09 483 8358","174.701106","-36.79238"
"Salisbury Superette","86C Salisbury Road","Birkdale","Auckland","0626","09 482 2558","174.706919","-36.794162"
"Verrans Corner Superette","30 Birkdale Road","Birkdale","Auckland","0626","09 482 0636","174.704497","-36.805939"
"Birkenhead Superette & Lotto","43-45 Birkenhead Avenue","Birkenhead","Auckland","0626","09 418 0231","174.7260053","-36.81137598"
